date;firstname;middlename;lastname;city;country
1996-02-01;Jacenta;Arely;Weaks;Ho Chi Minh City;Cayman Islands
1990-07-09;Clary;Ophelia;Ardeha;Taichung;Angola
1999-04-06;Suzette;Eliana;Marsden;Beijing;Nepal
1986-08-15;Cordi;Zaya;Iaverne;Surat Thani;Belgium
1998-02-01;Feliza;Ainara;Yerkovich;Ibiza;Zambia
1991-10-07;Paola;Aurelia;Vanni;Hai Phong;Tunisia
1992-01-25;Lolita;Ailany;Vastah;Paris;Samoa
1996-08-28;Marjie;Zaya;Casimir;San Fernando;Honduras
1989-06-08;Lacie;Blessing;Lattie;Taiyuan;Cuba
1997-11-16;Elka;Malia;Merat;Kyoto;Maldives
1988-08-09;Christal;Remi;Winnick;Jersey City;Uzbekistan
1992-08-06;Stacey;River;Cohdwell;La Serena;Austria
1995-08-18;Norine;Daphne;Hedve;Beirut;French Southern Territories
1985-12-10;Tobe;Remi;Clara;Taichung;Burkina Faso
1995-03-15;Arlina;Azari;Astra;Belfast;Nigeria
1999-12-23;Jany;Rose;Juliet;Ibiza;Kenya
1996-03-26;Nessie;Maeve;Flyn;Philadelphia;Macao
1992-03-28;Edith;Miley;Vilma;Berlin;Tonga
1986-01-23;Rochette;Noelle;Bluh;Christchurch;Åland Islands
1986-02-12;Janenna;Andie;Danby;Kingstown;AndorrA
1997-05-02;Cristabel;Parker;Colleen;La Paz;Djibouti
1991-07-20;Stevana;Miley;Sophronia;Yekaterinburg;Cameroon
1992-05-30;Farrah;Lyla;Giule;Gaziantep;Germany
1999-11-12;Leia;Halo;Nester;Chiang Mai;Oman
1995-04-03;Janenna;Kai;Caitlin;Panama City;Fiji
1999-03-04;Cyb;Rose;Aloise;Bissau;India
1989-07-01;Mureil;Zaya;Radu;Brasília;Niger
1997-03-26;Kimmy;Noelle;Nance;Melekeok;Egypt
1987-07-05;Neila;Rose;Alwin;Chihuahua;Congo, The Democratic Republic of the
1996-12-30;Korrie;Rowan;Rodmann;Osaka;Mauritius
1987-04-30;Marita;Andie;Cristi;San José;Pakistan
1991-12-08;Sashenka;River;Erminia;Chişinău;Nauru
1996-08-12;Corly;Rose;Goode;Timbuktu;Isle of Man
1992-09-23;Darci;Clara;Plato;Qingdao;Mali
1987-04-23;Melanie;Lyla;Thema;Stepanakert;Marshall Islands
1993-03-05;Ninnetta;Gianna;Donoghue;Winnipeg;Iraq
1991-07-24;Candi;Kaeli;Durante;Lubumbashi;Ethiopia
1989-04-19;Phedra;Arely;Simmonds;Leeds;Northern Mariana Islands
1997-06-04;Sheree;Ainara;Whiffen;Providence;South Africa
1989-06-10;Gilda;Tallulah;Gavrila;Nukulaelae;Myanmar
1989-09-15;Joeann;River;Erb;Tel Aviv;Algeria
1989-09-15;Tani;Kai;Bigner;Port Blair;Libyan Arab Jamahiriya
1990-08-29;Dianemarie;Alitzel;Dawkins;Makassar;Argentina
1985-01-30;Shaine;Lakelynn;Emmy;Siem Reap;Bolivia
1987-07-07;Heida;Ainara;Grimbly;Belgrade;Brazil
1997-01-17;Marsiella;Dania;Lowry;Tokyo;Dominican Republic
1990-04-28;Tori;Daphne;Crudden;Medan;Cayman Islands
1996-08-12;Alisha;Hayden;Uird;Agartala;Chad
1994-06-13;Malina;Adhara;Standing;Saskatoon;Cayman Islands
1996-01-15;Lesly;Azari;Christine;Hargeisa;Argentina
1998-04-17;Justinn;Inaya;Boycey;Denver;Ecuador
1992-02-26;Elise;Parker;Narton;Barcelona;Bahamas
1992-07-30;Cyb;Aleyna;Old;Odessa;Jordan
1989-08-06;Letizia;Rylee;Melony;Pekanbaru;Morocco
1997-04-25;Daryl;Malia;Friede;Fukuoka;Luxembourg
1998-03-14;Siana;Ophelia;Weitman;Willemstad;Malta
1985-10-05;Marcy;Inaya;Durware;Maceió;Christmas Island
1998-09-08;June;Ailany;Harned;Arbil;French Polynesia
1987-03-11;Feliza;Clara;Ortrude;Gaza;Pitcairn
1999-04-22;Karly;Clara;Brandice;Makati City;Greece
1987-01-16;Farrah;Maisy;Yerkovich;Birmingham;Palau
1986-11-06;Maurene;Kaeli;Drisko;Bulawayo;Senegal
1990-01-30;Marita;Aurelia;Shelba;Adelaide;Nicaragua
1997-01-14;Allyce;Elowyn;Yam;Rabi Island;Iceland
1985-02-13;Caressa;Alitzel;Ogren;Adelaide;Cayman Islands
1998-09-03;Elie;Millie;Merell;Maseru;Nauru
1996-08-19;Moyna;Ivey;Buckler;Luxor;Falkland Islands (Malvinas)
1987-03-06;Lynde;Azari;Infield;Iquique;Mauritius
1997-11-17;Riannon;Inaya;Frodi;San Antonio;Saint Vincent and the Grenadines
1989-09-07;Jessy;Alitzel;Jess;Liverpool;Cocos (Keeling) Islands
1995-02-18;Ann-Marie;Inaya;Thunell;Handan;French Southern Territories
1994-01-27;Mellicent;Eliana;Anderea;Thessaloniki;Chile
1994-05-21;Margalo;Kaeli;Schwejda;Brasília;Saint Helena
1987-10-07;Wendi;Lakelynn;Hepsibah;Palembang;Comoros
1998-11-04;Annabela;Daphne;Millda;Shillong;Guinea-Bissau
1987-08-13;Violet;Aurelia;Hirsch;Rio de Janeiro;Korea, Republic of
1987-02-24;Elora;Aurelia;Zetta;Vilnius;Nigeria
1999-11-11;Vonny;Emryn;Bord;Hanga Roa;"Korea, Democratic People""S Republic of"
1991-09-22;Annecorinne;Rylee;Garlinda;Bangkok;Sweden
1999-09-03;Laurene;Blessing;Japeth;Pune;Virgin Islands, British
1996-10-22;Consuela;Noelle;Eiser;Boa Vista;Timor-Leste
1998-10-08;Brena;Blessing;Faro;Nouakchott;Eritrea
1992-11-25;Orsola;Rylee;Jary;Port Moresby;Eritrea
1985-11-30;Riannon;Miller;Lanita;Seville;Palau
1988-04-26;Jinny;Imogen;Dosia;Cusco;Bulgaria
1997-06-05;Ileana;Dania;Brenn;Zhengzhou;Venezuela
1986-04-30;Roslyn;Lakelynn;Yoko;Amritsar;Brazil
1993-04-09;Madelle;Kaeli;Adalbert;Baghdad;Iceland
1991-11-08;Darlleen;Noelle;Roarke;Kyoto;Brunei Darussalam
1994-12-24;Madeleine;Maisy;Tristram;San Salvador;Myanmar
1990-06-13;Dulcinea;Amara;Docilla;Dunedin;Bahrain
1992-01-15;Fred;Gianna;Brian;San Francisco;Chile
1986-06-07;Dania;Ivey;Baptlsta;South Tarawa;Armenia
1993-10-18;Lorie;Adhara;Boycey;Kigali;Serbia and Montenegro
1989-12-29;Lesly;Ophelia;Dorothy;Abu Dhabi;Aruba
1988-08-29;Micheline;Lakelynn;Cath;Tokyo;Russian Federation
1986-03-23;Caryl;Lakelynn;Kirstin;Wuhan;Syrian Arab Republic
1999-11-05;Alameda;Arabella;Gladstone;Belgrade;Åland Islands
1985-05-26;Doralynne;Lyla;Hartnett;Boa Vista;Georgia
1985-03-16;Marleah;Amara;Virgin;San Francisco;Macao
1992-07-08;Danny;Alitzel;Gregrory;Rawalpindi;Kuwait
1985-03-06;Kayla;Avani;Denis;Basse-Terre;Senegal
1998-01-17;Emmey;Eliana;Dielu;Whitehorse;Yemen
1996-04-08;Quintina;Rylee;Jillane;Pretoria;AndorrA
1993-06-04;Ketti;Miley;Angelis;Surat;Germany
1994-01-13;Kittie;Halo;Girardo;Belfast;Samoa
1999-02-08;Bill;Avani;Hewitt;Addis Ababa;Mauritius
1990-01-21;Roxane;Aylani;Flita;Makassar;Azerbaijan
